,,TASK TYPE BREAKDOWN
""
""
"Task Number",Order No,Product Code,Quantity,Del Date
0001121621,020839,AURA3/596,30.00,01/01/01
0001121652,020839,AURA4/596,22.60,01/01/01
0001121653,020839,AURA4/596,23.20,01/01/01
0001122796,020839,TEXAS2/509,30.00,01/01/01
0001122797,020839,TEXAS2/509,30.00,01/01/01
0001123714,020247,EPL1162021,60.00,01/01/01
0001125345,015497,AC025,5.79,01/01/01
0001125608,023538,H11HERITLACQ1.2,19.00,01/01/01
0001125623,020820,NF12MMBRESCIA,50.00,01/01/01
0001126052,024197,EHL161,36.00,01/01/01
0001126317,024371,CSP,1.00,01/01/01
0001126737,021686,JURA/95,30.00,01/01/01
0001126738,021686,JURA/95,30.10,01/01/01
0001126739,021686,JURA/95,33.00,01/01/01
0001126740,021686,JURA/95,33.00,01/01/01
0001127097,024727,ZEST10MM,90.00,01/01/01
0001127241,025118,KENA/945,33.00,01/01/01
0001127342,020448,EPL0352021,300.00,01/01/01
0001127343,020450,EPL0352021,540.00,01/01/01
0001127397,025237,HV2-582,3.66,01/01/01
0001127461,020820,NF12MMBRESCIA,1.00,01/01/01
0001127532,018616,GRAN/73,21.64,01/01/01
0001127533,018616,GRAN/73,21.64,01/01/01
0001127534,018616,GRAN/73,21.64,01/01/01
0001127589,025357,GV3/596,3.10,01/01/01
0001127590,025357,GV2/596,3.00,01/01/01
0001127683,025449,CL/10/50355,8.90,01/01/01
0001127706,025449,COSISTEP10MM,3.00,01/01/01
0001127760,024197,EHL161,24.00,01/01/01
0001127803,019913,VOC3/790M,5.35,01/01/01
0001127886,019660,TIMBERTEX,13.00,01/01/01
0001127935,997028,VERM/LACQDKBW,10.00,01/01/01
0001127941,024876,VERM/BSHOILDBF,9.00,01/01/01
0001127974,025629,NF12MMBRESCIA,7.00,01/01/01
0001128120,024134,EPL1502021,12.00,01/01/01
0001128121,024134,EHL161,5.00,01/01/01
0001128122,024134,SUPREME4V/60954,11.00,01/01/01
0001128123,024134,SUPLEGCOTTAGE,21.00,01/01/01
0001128124,024134,ECOGOLDDPM,25.00,01/01/01
0001128125,024134,NOVO/25,2.00,01/01/01
0001128133,023409,EHL145,19.00,01/01/01
